,0,1,2,3,4,5,6,7,8,9,10
19,17720002,Sarocladium strictum,active,2002-01-31,Sarocladium strictum (organism),Cephalosporium strictumAcremonium strictumSarocladium strictum,Sarocladium 418905001,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Domain Eukarya 415671008 Fungi 414561005 Ascomycota 415098006 Mitosporic Ascomycota 418566009 Sarocladium 418905001 Sarocladium strictum 17720002,sorted most to least specificSarocladium 418905001Mitosporic Ascomycota 418566009Ascomycota 415098006Fungi 414561005Domain Eukarya 415671008Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP,
21,45462000,Rhinocladiella aquaspersa,active,2002-01-31,Rhinocladiella aquaspersa (organism),Ramichloridium cerophilumRhinocladiella aquaspersaAcrotheca aquaspersa,Rhinocladiella 21690009,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Domain Eukarya 415671008 Fungi 414561005 Phylum Deuteromycota 106565008 Deuteromycete 45970004 Form class Hyphomycetes 106568005 Form family Dematiaceae 106570001 Rhinocladiella 21690009 Rhinocladiella aquaspersa 45462000,sorted most to least specificRhinocladiella 21690009Herpotrichiellaceae 415915008Form family Dematiaceae 106570001Chaetothyriales 419742006Form class Hyphomycetes 106568005Deuteromycete 45970004Chaetothyriomycetes 419448009Pezizomycotina 418751008Phylum Deuteromycota 106565008Ascomycota 415098006Fungi 414561005Domain Eukarya 415671008Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP,
23,55038006,Chrysosporium,active,2002-01-31,Chrysosporium (organism),Chrysosporium speciesChrysosporiumGlenosporellaAleurisma,Form family Moniliaceae 106569002,Chrysosporium evolceanui 243503007Chrysosporium keratinophilum 243504001Chrysosporium lobatum 932277721000087105Chrysosporium pannicola 780919001Chrysosporium pruinosum 20605003Chrysosporium queenslandicum 802427471000087107Chrysosporium species 115993003 removed: 2015-01-31Chrysosporium tropicum 415896009,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Domain Eukarya 415671008 Fungi 414561005 Phylum Deuteromycota 106565008 Deuteromycete 45970004 Form class Hyphomycetes 106568005 Form family Moniliaceae 106569002 Chrysosporium 55038006,sorted most to least specificForm family Moniliaceae 106569002Form class Hyphomycetes 106568005Deuteromycete 45970004Phylum Deuteromycota 106565008Fungi 414561005Domain Eukarya 415671008Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP
25,26861000146102,Scedosporium apiospermum,active,2017-07-31,Scedosporium apiospermum (organism),Scedosporium apiospermumAleurisma apiospermumMonosporium apiospermum,Scedosporium 31901009Pseudallescheria boydii and/or Scedosporium boydii complex 724026001,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Domain Eukarya 415671008 Fungi 414561005 Phylum Deuteromycota 106565008 Deuteromycete 45970004 Form class Hyphomycetes 106568005 Form family Dematiaceae 106570001 Scedosporium 31901009 Scedosporium apiospermum 26861000146102SNOMED CT Concept 138875005 Organism 410607006 Domain Eukarya 415671008 Fungi 414561005 Phylum Deuteromycota 106565008 Deuteromycete 45970004 Form class Hyphomycetes 106568005 Form family Dematiaceae 106570001 Pseudallescheria boydii and/or Scedosporium boydii complex 724026001 Scedosporium apiospermum 26861000146102,sorted most to least specificScedosporium 31901009Pseudallescheria boydii and/or Scedosporium boydii complex 724026001Form family Dematiaceae 106570001Microascaceae 426381006Form class Hyphomycetes 106568005Microascales 426593001Deuteromycete 45970004Hypocreomycetidae 736095004Phylum Deuteromycota 106565008Sordariomycetes 415900007Pezizomycotina 418751008Ascomycota 415098006Fungi 414561005Domain Eukarya 415671008Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP,
29,75059003,Alternaria,active,2002-01-31,Genus Alternaria (organism),MacrosporiumAlternariaGenus AlternariaAlternaria species,Form family Dematiaceae 106570001Pleosporaceae 426523006,Alternaria alternata 36703000Alternaria anamorph of Pleospora infectoria 243530002Alternaria armoraciae 735988003Alternaria brassicicola 243531003Alternaria chartarum 72434005Alternaria dianthicola 28387003Alternaria infectoria 21702003Alternaria pluriseptata 243532005Alternaria stemphyloides 14780009Alternaria tenuissima 35667002,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Domain Eukarya 415671008 Fungi 414561005 Phylum Deuteromycota 106565008 Deuteromycete 45970004 Form class Hyphomycetes 106568005 Form family Dematiaceae 106570001 Alternaria 75059003SNOMED CT Concept 138875005 Organism 410607006 Domain Eukarya 415671008 Fungi 414561005 Ascomycota 415098006 Pezizomycotina 418751008 Dothideomycetes 425627005 Pleosporales 425572006 Pleosporaceae 426523006 Alternaria 75059003,sorted most to least specificForm family Dematiaceae 106570001Pleosporaceae 426523006Form class Hyphomycetes 106568005Pleosporales 425572006Dothideomycetes 425627005Deuteromycete 45970004Phylum Deuteromycota 106565008Pezizomycotina 418751008Ascomycota 415098006Fungi 414561005Domain Eukarya 415671008Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP
31,36703000,Alternaria alternata,active,2002-01-31,Alternaria alternata (organism),Alternaria alternataAlternaria tenuis,Alternaria 75059003,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Domain Eukarya 415671008 Fungi 414561005 Phylum Deuteromycota 106565008 Deuteromycete 45970004 Form class Hyphomycetes 106568005 Form family Dematiaceae 106570001 Alternaria 75059003 Alternaria alternata 36703000,sorted most to least specificAlternaria 75059003Pleosporaceae 426523006Form family Dematiaceae 106570001Pleosporales 425572006Form class Hyphomycetes 106568005Deuteromycete 45970004Dothideomycetes 425627005Pezizomycotina 418751008Phylum Deuteromycota 106565008Ascomycota 415098006Fungi 414561005Domain Eukarya 415671008Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP,
33,28387003,Alternaria dianthicola,active,2002-01-31,Alternaria dianthicola (organism),Alternaria dianthicola,Alternaria 75059003,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Domain Eukarya 415671008 Fungi 414561005 Phylum Deuteromycota 106565008 Deuteromycete 45970004 Form class Hyphomycetes 106568005 Form family Dematiaceae 106570001 Alternaria 75059003 Alternaria dianthicola 28387003,sorted most to least specificAlternaria 75059003Pleosporaceae 426523006Form family Dematiaceae 106570001Pleosporales 425572006Form class Hyphomycetes 106568005Deuteromycete 45970004Dothideomycetes 425627005Pezizomycotina 418751008Phylum Deuteromycota 106565008Ascomycota 415098006Fungi 414561005Domain Eukarya 415671008Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP,
35,21702003,Alternaria infectoria,active,2002-01-31,Alternaria infectoria (organism),Alternaria infectoria,Alternaria 75059003,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Domain Eukarya 415671008 Fungi 414561005 Phylum Deuteromycota 106565008 Deuteromycete 45970004 Form class Hyphomycetes 106568005 Form family Dematiaceae 106570001 Alternaria 75059003 Alternaria infectoria 21702003,sorted most to least specificAlternaria 75059003Pleosporaceae 426523006Form family Dematiaceae 106570001Pleosporales 425572006Form class Hyphomycetes 106568005Deuteromycete 45970004Dothideomycetes 425627005Pezizomycotina 418751008Phylum Deuteromycota 106565008Ascomycota 415098006Fungi 414561005Domain Eukarya 415671008Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP,
39,35667002,Alternaria tenuissima,active,2002-01-31,Alternaria tenuissima (organism),Alternaria tenuissima,Alternaria 75059003,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Domain Eukarya 415671008 Fungi 414561005 Phylum Deuteromycota 106565008 Deuteromycete 45970004 Form class Hyphomycetes 106568005 Form family Dematiaceae 106570001 Alternaria 75059003 Alternaria tenuissima 35667002,sorted most to least specificAlternaria 75059003Pleosporaceae 426523006Form family Dematiaceae 106570001Pleosporales 425572006Form class Hyphomycetes 106568005Deuteromycete 45970004Dothideomycetes 425627005Pezizomycotina 418751008Phylum Deuteromycota 106565008Ascomycota 415098006Fungi 414561005Domain Eukarya 415671008Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP,
41,17113000,Ancylostoma,active,2002-01-31,Ancylostoma (organism),Genus: AncylostomaAncylostomaAncylostoma species,Hookworm 359762003,Ancylostoma braziliense 38193009Ancylostoma caninum 70205007Ancylostoma ceylonicum 26200006Ancylostoma duodenale 81559006Ancylostoma intestinale 302555002Ancylostoma japonica 284051002Ancylostoma malayanum 66762000Ancylostoma tubaeforme 86408009Genus Ancylostoma larva 441779000Other specified Ancylostoma 271465002 removed: 2010-01-31,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Domain Eukarya 415671008 Kingdom Animalia 387961004 Class Cestoda and/or Class Trematoda and/or Phylum Nemata 441649000 Nemata 421727006 Class Secernentea 106649002 Order Strongylida 106654006 Superfamily ancylostomatoidea 106657004 Hookworm 359762003 Ancylostoma 17113000,sorted most to least specificHookworm 359762003Superfamily ancylostomatoidea 106657004Order Strongylida 106654006Class Secernentea 106649002Nemata 421727006Class Cestoda and/or Class Trematoda and/or Phylum Nemata 441649000Kingdom Animalia 387961004Domain Eukarya 415671008Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP
43,7153002,Angiostrongylus,active,2002-01-31,Angiostrongylus (organism),Genus: AngiostrongylusAngiostrongylusAngiostrongylus species,Superfamily Protostrongyloidea 106661005,Angiostrongylus blarini 72423007Angiostrongylus cantonensis 48708001Angiostrongylus costaricensis 72966005Angiostrongylus dujardini 284069006Angiostrongylus gubernaculatus 112436008Angiostrongylus mackerrasae 2551003Angiostrongylus malayensis 284070007Angiostrongylus michiganensis 11047008Angiostrongylus ondatrae 19609000Angiostrongylus schmidti 64068007Angiostrongylus species 417871007 removed: 2015-01-31Angiostrongylus vasorum 40567006,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Domain Eukarya 415671008 Kingdom Animalia 387961004 Class Cestoda and/or Class Trematoda and/or Phylum Nemata 441649000 Nemata 421727006 Class Secernentea 106649002 Order Strongylida 106654006 Superfamily Protostrongyloidea 106661005 Angiostrongylus 7153002,sorted most to least specificSuperfamily Protostrongyloidea 106661005Order Strongylida 106654006Class Secernentea 106649002Nemata 421727006Class Cestoda and/or Class Trematoda and/or Phylum Nemata 441649000Kingdom Animalia 387961004Domain Eukarya 415671008Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP
45,68038008,Apophysomyces,active,2002-01-31,Apophysomyces (organism),ApophysomycesApophysomyces speciesGenus Apophysomyces,Order Mucorales 106556001,Apophysomyces elegans 71235006,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Domain Eukarya 415671008 Fungi 414561005 Phylum Zygomycota 106554003 Zygomycete 1582002 Order Mucorales 106556001 Apophysomyces 68038008,sorted most to least specificOrder Mucorales 106556001Zygomycete 1582002Phylum Zygomycota 106554003Fungi 414561005Domain Eukarya 415671008Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP
47,71235006,Apophysomyces elegans,active,2002-01-31,Apophysomyces elegans (organism),Apophysomyces elegans,Apophysomyces 68038008,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Domain Eukarya 415671008 Fungi 414561005 Phylum Zygomycota 106554003 Zygomycete 1582002 Order Mucorales 106556001 Apophysomyces 68038008 Apophysomyces elegans 71235006,sorted most to least specificApophysomyces 68038008Order Mucorales 106556001Zygomycete 1582002Phylum Zygomycota 106554003Fungi 414561005Domain Eukarya 415671008Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP,
49,28375005,Flavivirus,active,2002-01-31,Genus Flavivirus (organism),Arbovirus group B virusGenus FlavivirusFlavivirusArbovirus group B,Flaviviridae 243602009,Alkhurma virus 764949001Aroa virus group 428729001Dengue virus subgroup 243604005Entebbe bat virus group 428458004Hepatitis G virus 397582004Israel turkey meningoencephalitis virus 76850009Japanese encephalitis virus 87099007 removed: 2004-01-31Japanese encephalitis virus group 407540001Jutiapa virus 61023003Mammalian tick-borne virus group 414649007Ntaya virus group 429172006Rio Bravo virus group 312319002Seabird tick-borne virus group 428354003Tentative flavivirus 314824006Tick-borne encephalitis virus subgroup 243605006Tyuleniy virus 55249007Uganda S virus 23600007 removed: 2004-01-31Yellow Fever virus group 407538006,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Virus 49872002 RNA virus 11705000 Enveloped ssRNA virus without a DNA step in life-cycle 243599004 Flaviviridae 243602009 Flavivirus 28375005,sorted most to least specificFlaviviridae 243602009Enveloped ssRNA virus without a DNA step in life-cycle 243599004RNA virus 11705000Virus 49872002Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP
51,58234003,Arenavirus,active,2002-01-31,Genus Arenavirus (organism),Genus ArenavirusArenavirusLCM virus group,Arenaviridae 243624009,Chapare virus 450621007Lujo virus 450622000Lymphocytic choriomeningitis virus and Lassa complex 243625005Tacaribe virus complex 60903008Whitewater Arroyo virus 415844006,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Virus 49872002 RNA virus 11705000 Enveloped ssRNA virus without a DNA step in life-cycle 243599004 Enveloped ssRNA virus without a DNA step with multiple-stranded negative-sense genome 243611009 Arenaviridae 243624009 Arenavirus 58234003,sorted most to least specificArenaviridae 243624009Enveloped ssRNA virus without a DNA step with multiple-stranded negative-sense genome 243611009Enveloped ssRNA virus without a DNA step in life-cycle 243599004RNA virus 11705000Virus 49872002Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP
